country_region,confirmed,recovered,deaths,active,lb,mb1,mb2,ub
US,5821819,2084465,179708,3557636,0.031,0.016,0.042,0.079
Brazil,3717156,3082447,117665,517044,0.032,0.017,0.019,0.037
India,3310234,2523771,60472,725991,0.018,0.010,0.012,0.023
Russia,968297,784277,16638,167382,0.017,0.009,0.011,0.021
South Africa,615701,525242,13502,76957,0.022,0.012,0.013,0.025
Peru,607382,414577,28001,164804,0.046,0.024,0.033,0.063
Mexico,573888,472197,62076,39615,0.108,0.057,0.061,0.116
Colombia,572243,407114,18184,146965,0.032,0.017,0.023,0.043
Spain,419849,150376,28971,240502,0.069,0.036,0.085,0.162
Chile,402365,376268,10990,15107,0.027,0.014,0.015,0.028
Argentina,370188,268801,7839,93548,0.021,0.011,0.015,0.028
Iran,365606,314870,21020,29716,0.057,0.030,0.033,0.063
United Kingdom,330967,1551,41552,287864,0.126,0.066,0.507,0.964
Saudi Arabia,310836,284945,3755,22136,0.012,0.006,0.007,0.013
Bangladesh,302147,190183,4082,107882,0.014,0.007,0.011,0.021
Pakistan,294193,278939,6267,8987,0.021,0.011,0.012,0.022
France,291374,85811,30549,175014,0.105,0.055,0.138,0.263
Italy,262540,206329,35458,20753,0.135,0.071,0.077,0.147
Turkey,262507,239797,6183,16527,0.024,0.012,0.013,0.025
Germany,239010,211691,9285,18034,0.039,0.020,0.022,0.042
Iraq,215784,157215,6668,51901,0.031,0.016,0.021,0.041
Philippines,202361,133460,3137,65764,0.016,0.008,0.012,0.023
Indonesia,160165,115409,6944,37812,0.043,0.023,0.030,0.057
Canada,128380,114220,9141,5020,0.071,0.037,0.039,0.074
Qatar,117742,114558,194,2990,0.002,0.001,0.001,0.002
Ukraine,112653,55327,2399,54927,0.021,0.011,0.022,0.042
Bolivia,112094,50397,4726,56971,0.042,0.022,0.045,0.086
Ecuador,110549,95097,6410,9042,0.058,0.031,0.033,0.063
Israel,108403,86466,875,21062,0.008,0.004,0.005,0.010
Kazakhstan,105243,94713,1523,9007,0.014,0.008,0.008,0.016
Egypt,97825,68713,5317,23795,0.054,0.029,0.038,0.072
Dominican Republic,92557,63478,1613,27466,0.017,0.009,0.013,0.025
China,89784,84251,4713,820,0.052,0.028,0.028,0.053
Panama,89082,63595,1932,23555,0.022,0.011,0.016,0.029
Sweden,87072,0,5817,81255,0.067,0.035,0.526,1.000
Oman,84818,79409,646,4763,0.008,0.004,0.004,0.008
Belgium,83030,18331,9879,54820,0.119,0.063,0.184,0.350
Kuwait,82271,73906,521,7844,0.006,0.003,0.004,0.007
Romania,81646,36286,3421,41939,0.042,0.022,0.045,0.086
Belarus,70974,69378,657,939,0.009,0.005,0.005,0.009
Guatemala,70714,58783,2662,9269,0.038,0.020,0.023,0.043
Netherlands,70382,807,6241,63334,0.089,0.047,0.466,0.885
United Arab Emirates,68020,59070,378,8572,0.006,0.003,0.003,0.006
Japan,64779,51407,1230,12142,0.019,0.010,0.012,0.023
Poland,63802,43399,1994,18409,0.031,0.016,0.023,0.044
Honduras,56649,9169,1747,45733,0.031,0.016,0.084,0.160
Singapore,56495,54971,27,1497,0.000,0.000,0.000,0.000
Portugal,56274,41184,1807,13283,0.032,0.017,0.022,0.042
Morocco,55864,40586,984,14294,0.018,0.009,0.012,0.024
Nigeria,53021,40281,1010,11730,0.019,0.010,0.013,0.024
Bahrain,50393,47049,186,3158,0.004,0.002,0.002,0.004
